movieId;mdbId;mdbId
1;114709;62
2;113497;844
3;113228;5602
4;114885;1357
5;113041;1862
6;113277;49
7;114319;1860
8;112302;5325
9;114576;091
10;113189;10
11;112346;087
12;112896;2110
13;112453;1032
14;113987;0858
15;112760;408
16;112641;24
17;114388;584
18;113101;
19;112281;273
20;113845;1517
21;113161;012
22;112722;710
23;112401;691
24;114168;2665
25;113627;51
26;114057;6420
27;114011;263
28;114117;7015
29;112682;02
30;115012;7557
31;112792;909
32;114746;3
34;112431;598
36;112818;87
38;113442;3689
39;112697;603
40;112749;4615
41;114279;1174
42;112819;1443
43;114272;5196
44;113855;312
45;114681;77
46;113347;1861
47;114369;07
48;114148;0530
49;114916;391
50;114814;29
52;113819;1448
53;110299;9133
54;112499;6441
55;113158;7406
57;113321;089
58;110877;1010
60;113419;1359
61;116260;7182
62;113862;054
63;116126;0607
64;118002;9760
65;115683;536
66;116839;1525
68;113149;482
69;113118;0634
70;116367;55
71;113010;1859
72;113537;8387
73;113828;8750
74;115644;0927
75;115676;6929
76;114367;102
77;113973;24626
78;112744;7526
79;116731;623
80;112445;6785
81;114660;00
82;112379;80
83;114039;46599
85;112365;447
86;118158;0534
87;116151;7414
88;115697;3997
89;113972;086
92;117002;095
93;114825;2158
94;115639;283
95;115759;208
96;113403;0154
97;113247;06
99;113283;3076
100;115907;1062
101;115734;3685
102;117102;7475
103;118040;045
104;116483;614
105;112579;88
106;110251;1907
107;117110;0874
108;112646;9333
110;112573;97
111;075314;03
112;113326;3542
113;115645;3566
116;112373;1352
117;115033;6934
118;116606;0324
119;114536;8406
121;106473;2119
122;103859;1066
123;109424;1104
125;116324;074
126;110647;7793
128;110217;90157
129;114131;10972
132;113451;1863
135;116130;101
137;113756;757
140;118055;302
141;115685;1000
144;112585;6388
145;112442;737
146;112342;0765
147;112461;0474
148;112427;2279
149;109093;0157
150;112384;68
151;114287;1780
152;112288;4996
153;112462;14
154;061395;49
155;112495;873
156;112541;894
157;109370;775
158;112642;839
159;112688;0649
160;112715;0329
161;112740;963
162;109508;6564
163;112851;068
164;112857;512
165;112864;572
166;112887;3552
168;113071;520
169;113114;073
170;113243;0428
171;113464;7447
172;113481;886
173;113492;482
174;113500;9326
175;113540;344
176;113677;071
177;113690;973
178;107447;5730
179;113729;7608
180;113749;293
181;113820;070
183;110604;8787
184;110620;4574
185;113957;642
186;113986;1472
187;114095;6196
188;114194;1980
189;114241;8372
190;114323;2646
191;114345;0533
193;114436;0802
194;114478;0149
195;114496;8402
196;114508;348
198;114558;81
199;058450;967
201;114663;7939
202;114702;6834
203;114682;090
204;114781;512
205;114798;2856
206;114805;7350
207;114887;560
208;114898;804
209;114928;1611
210;114938;5796
211;109340;9805
212;112602;6258
213;111579;0797
214;110882;9155
215;112471;6
216;112508;1017
217;112438;7141
218;112571;382
219;112757;715
220;112643;8256
222;112679;2625
223;109445;292
224;112883;909
225;109635;984
227;109676;954
228;112854;2488
229;109579;0531
230;109642;1929
231;109686;467
232;111797;0451
233;109759;0156
234;109758;8395
235;109707;22
236;113117;97
237;113097;0525
238;113028;7985
239;113198;5789
240;113303;7303
241;113089;1183
242;109771;0954
243;113199;7867
246;110057;4275
247;110005;024
248;110066;7207
249;110116;3701
250;110006;4819
251;113360;2631
252;110099;1777
253;110148;28
254;113463;7729
255;110189;8713
256;110216;280
257;113501;061
258;113538;7108
259;113552;071
260;076759;1
261;110367;587
262;113670;9101
263;110296;9980
265;103994;8183
266;110322;476
267;110443;1008
269;107566;2325
270;110391;3742
271;113691;8313
272;110428;1318
273;109836;036
274;113755;0490
275;110538;4070
276;110516;986
277;110527;0510
278;113808;7402
279;113896;8722
280;113870;438
281;110684;1593
282;110638;945
283;113967;9310
284;117169;09560
285;106402;6428
287;110671;31957
288;110632;41
289;110737;058
290;110729;27
291;114151;8220
292;114069;950
293;110413;01
294;114113;3020
295;114210;307
296;110912;80
298;105652;5296
299;110889;0156
300;110932;1450
301;114129;0304
302;110963;0452
303;114214;2106
304;114296;61495
305;110907;586
306;111495;10
307;108394;08
308;111507;09
310;114268;6357
311;110965;2769
312;114571;8033
313;111333;2586
314;111112;4334
315;111255;636
316;111282;164
317;111070;1395
318;111161;78
319;111149;905
320;108260;7078
321;106966;2527
322;114594;0306
324;111309;6614
325;113936;7993
326;110081;1439
327;114614;067
328;114608;059
329;111280;93
330;114609;5066
331;111454;6797
332;114852;2122
333;114694;1381
334;111590;2636
335;114788;6141
336;114888;5963
337;108550;587
338;114857;271
339;114924;064
340;111667;9855
341;109655;0855
342;110598;36
343;112435;8287
344;109040;049
345;109045;759
346;106339;2635
347;104779;0497
348;109348;1382
349;109444;331
350;109446;0731
351;109484;0464
352;109504;4152
353;109506;495
354;109450;9973
355;109813;88
356;109830;3
357;109831;12
358;113305;6295
359;110091;8992
360;110093;0879
361;110167;0660
362;110213;0714
363;107472;1647
364;110357;587
365;107426;689
366;111686;1596
367;110475;54
368;110478;359
369;110588;3333
370;110622;6593
371;110771;2280
372;110950;788
373;105226;0427
374;110989;1011
376;110997;987
377;111257;637
378;111256;5128
379;111438;831
380;111503;6955
381;111693;0449
382;111742;0395
383;111756;2160
384;112443;0480
385;110455;2038
386;111048;9444
387;110399;6352
388;112570;9953
389;109454;1580
390;059170;15
391;110186;2067
393;111301;1667
405;110027;011
406;109785;71857
407;113409;654
408;109021;8069
409;109035;9092
410;106220;758
412;106226;0436
413;109068;3595
414;109067;6094
415;106292;409
416;109198;1853
417;109219;6771
418;106379;6924
419;106400;1041
420;109254;06
421;109279;4522
422;109297;6203
423;109303;78
424;109305;9819
425;109306;7834
426;106452;722
427;106471;8215
428;106489;607
429;109361;6391
430;106505;17553
431;106519;075
432;109439;1310
433;109443;8658
434;106582;350
435;106598;612
436;109456;124
437;109480;6261
438;109493;9176
440;106673;1566
441;106677;571
442;106697;739
